,Unnamed: 0,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,ln_access,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi,ln_road1,ln_build
85,85,洞泾镇,松江区,0.196805105,388,69.23699665,30119,962.1594565,572,0.430796639,4.251929978,1.4473729923290504,5.961005339623274,4.237535353428481,10.312911480831472,6.869180192127337,6.349138991379798,-1.6255413546597706,-0.8421191354944972
86,86,石湖荡镇,松江区,0.301982253,1385,79.87333609,19636,607.7415412,349,0.1958965,8.608939959,2.152801193438465,7.233455418621439,4.380442081056621,9.885119895177944,6.40974969487642,5.855071922202427,-1.1973870282346541,-1.6301688204495406
87,87,车墩镇,松江区,0.237725896,854,129.1716429,18609,849.6958113,684,0.360255892,9.679515892,2.270011888880861,6.74993119378857,4.861142085060616,9.831400613641227,6.744878416375125,6.52795791762255,-1.4366369665028424,-1.0209406889274388
88,88,三林镇,浦东新区,0.273596756,754,913.2666752,135176,5328.144779,1179,0.636869392,1.875335678,0.6287876716653931,6.625392368007956,6.817027924692927,11.814332912040486,8.580758385086774,7.072421900537371,-1.2960999500291794,-0.45119068053950023
89,89,上钢新村街道,浦东新区,0.248380405,157,437.8349145,45179,11509.27274,540,0.714120688,3.946268818,1.3727705294564585,5.056245805348308,6.081841931794703,10.718387656089568,9.350908314663195,6.29156913955832,-1.3927938168975118,-0.336703300114326
90,90,东明路街道,浦东新区,0.38649117,122,395.237848,45426,16066.27971,459,0.790625686,1.680198202,0.518911763837336,4.804021044733257,5.979487730518902,10.723839907331362,9.684477926640714,6.129050210060545,-0.9506462572699692,-0.23493063939864417
91,91,北蔡镇,浦东新区,0.27892425,525,830.4473964,56241,6788.931977,1223,0.71909842,0.572707605,-0.5573799804667218,6.263398262591624,6.721964587372413,10.9374013072653,8.823048914660937,7.109062135687172,-1.2768150394013729,-0.3297570460670356
92,92,南码头路街道,浦东新区,0.300687112,87,388.0832243,49281,18246.89964,288,0.787421399,0.293148325,-1.2270765693866335,4.465908118654584,5.961219812240934,10.80529389020931,9.811750461839205,5.662960480135946,-1.2016850498995184,-0.2389917240574285
93,93,合庆镇,浦东新区,0.275023275,1100,303.0844908,25776,1402.612507,604,0.543701605,3.054098141,1.1164843415125971,7.003065458786462,5.714011614163376,10.157199105416755,7.246091853074319,6.403574197934815,-1.2908995485333843,-0.6093547028390335
94,94,周家渡街道,浦东新区,0.285259528,99,540.8554838,49960,19494.17389,464,0.807757664,0.303677026,-1.1917905568118996,4.59511985013459,6.293152115250191,10.818977964239513,9.87787092503794,6.139884552226255,-1.2543558885190929,-0.21349318623835647
