STREET,AREA,roads_perc,roads_nodes,gdp,housing_price,pop_density,pois,zone_perc,access,access_5k
万祥镇,浦东新区,0.168453716,181,135.5019598,14575,1172.243781,201,0.288152215,1.973887673,2.770583588
书院镇,浦东新区,0.228179774,654,268.9447107,14419,992.3016156,641,0.272529403,13.59724824,77.85941106
周浦镇,浦东新区,0.251593235,679,583.3523454,37658,2727.592222,1334,0.499447924,0.733608642,10.05108697
大团镇,浦东新区,0.211549979,633,328.8120768,11253,1290.898848,517,0.372351972,0.97728332,1.62819553
宣桥镇,浦东新区,0.193334845,451,232.1595234,43696,1004.913227,397,0.40386074,1.203494325,3.274719047
康桥镇,浦东新区,0.220553399,683,498.3235505,53612,2403.818371,946,0.628679432,1.577085392,47.70145025
惠南镇,浦东新区,0.219412682,1167,723.3484911,22811,2170.517945,1979,0.482537106,2.017246027,16.35766141
新场镇,浦东新区,0.215444617,857,303.1596444,25722,1134.440886,689,0.34431447,2.851878502,15.8140466
航头镇,浦东新区,0.21213686,913,443.6818654,27644,1478.42113,899,0.430679577,1.163814993,8.725483075
南汇新城镇,浦东新区,0.14065731,1469,266.5147439,21323,348.9762975,1417,0.223414634,9.395076824,75.59692569
五里桥街道,黄浦区,0.456086173,123,322.6397207,84555,22083.15487,220,0.753461856,0.659743771,6.205834626
打浦桥街道,黄浦区,0.544099041,107,272.1971038,82211,36241.73038,356,0.87079932,0.193942349,1.214694894
淮海中路街道,黄浦区,0.606325915,82,268.8475096,77610,40449.37253,447,0.887485969,0.88869908,15.27913579
瑞金二路街道,黄浦区,0.476398173,96,314.2799285,76356,34234.93381,485,0.82035207,1.303944036,15.48381415
华亭镇,嘉定区,0.106507705,174,93.97645108,16428,614.5258019,276,0.376562756,0.674516792,56.07033534
南翔镇,嘉定区,0.242753826,498,373.8475863,43166,2904.249051,636,0.673395291,1.031344196,9.391606661
嘉定镇街道,嘉定区,0.249693127,391,200.0773954,22226,2386.263577,595,0.607841219,2.553376757,12.42983013
外冈镇,嘉定区,0.122145189,314,126.9660809,18874,644.1350591,433,0.335817048,10.42603284,15.02451985
安亭镇,嘉定区,0.19657472,1528,502.9106464,28422,1441.90214,2054,0.621193926,1.878865559,24.78040658
徐行镇,嘉定区,0.13796804,730,137.8618451,17924,340.2330211,1005,0.404784218,8.087389986,40.17064365
新成路街道,嘉定区,0.282800445,313,313.6747496,27828,4324.70179,489,0.629073768,0.782007613,17.66984589
江桥镇,嘉定区,0.227372787,608,406.7093043,29947,2480.193385,1819,0.698355252,1.657906839,19.33608941
真新街道,嘉定区,0.387530257,121,472.2428105,41044,23616.04396,432,0.813188664,2.21163636,10.25251145
马陆镇,嘉定区,0.208863182,648,401.3331303,43644,1818.957658,783,0.537486704,1.205672454,14.56245948
