,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
72,殷行街道,杨浦区,0.177180698,79,326.2145067,43712,19159.96935,513,0.65001827,0.577668704,10.09453972,2.311994655876389,4.3694478524670215,5.787555160994517,10.685377942930462,9.860578451836725,6.240275845170769
73,江浦路街道,杨浦区,0.396553762,79,147.3522606,68024,35570.10769,139,0.896296812,0.340632844,1.497002094,0.4034645042341081,4.3694478524670215,4.992826050769448,11.127615863065628,10.479260892489226,4.9344739331306915
74,长白新村街道,杨浦区,0.299468241,95,131.8671799,44401,24133.4231,112,0.845971807,0.274251701,0.563834042,-0.5729953225576752,4.553876891600541,4.881795203135563,10.70101727068921,10.09135300931204,4.718498871295094
75,中山街道,松江区,0.20926367,412,145.8020399,27216,1224.664325,936,0.65433289,3.710538167,15.37002735,2.73241933698939,6.021023349349527,4.98224981056036,10.211560314635642,7.110422065020212,6.841615476477592
76,佘山镇,松江区,0.188661038,880,155.2674334,21384,780.1379722,884,0.262768736,11.06890379,46.69146866,3.8435614640460654,6.779921907472252,5.045149006940827,9.970398257818754,6.659470791476797,6.784457062637643
77,叶榭镇,松江区,0.23751553,1469,145.8820792,12267,679.5994124,418,0.162893396,12.8233553,47.80969126,3.867228364972317,7.292337176173877,4.982798618649438,9.414668009032752,6.521503525171153,6.035481432524756
78,小昆山镇,松江区,0.183578476,443,71.69153652,14878,505.8740365,628,0.265307755,10.71010835,25.59064338,3.2422267917079326,6.093569770045136,4.272372700470922,9.607638890751288,6.226287698573509,6.4425401664681985
79,岳阳街道,松江区,0.305749058,150,192.5657675,19342,11508.12666,273,0.817947025,0.415831308,5.197732338,1.6482224416268336,5.0106352940962555,5.260437744729638,9.870034176276908,9.350808730867387,5.60947179518496
80,新桥镇,松江区,0.19617477,391,138.5154952,41048,1324.220752,800,0.594700551,1.211866928,7.575083167,2.024864330477077,5.968707559985366,4.930982198069799,10.622497392621801,7.18857945371669,6.684611727667927
81,新浜镇,松江区,0.186083781,600,73.07295631,12267,550.8302467,339,0.150554308,11.4900011,44.82444474,3.802753632130592,6.396929655216146,4.29145834358604,9.414668009032752,6.311426679471683,5.82600010738045
82,永丰街道,松江区,0.195472446,228,150.3968911,34154,2065.870367,467,0.429144317,0.781489256,33.36277012,3.507440611213415,5.429345628954441,5.013277740424434,10.438634988447184,7.633306901825208,6.1463292576688975
83,泖港镇,松江区,0.204315306,1168,112.3100212,11197,657.305526,479,0.175331209,23.873981,113.4496683,4.731359287466619,7.0630481633881725,4.721263093738171,9.323401164260197,6.488148942354227,6.171700597410915
84,泗泾镇,松江区,0.196522086,293,217.3305333,29651,3065.284203,1724,0.623225257,1.381786088,6.818829308,1.9196878014023666,5.680172609017068,5.3814193895865925,10.297251130669952,8.027895569357069,7.452402451223638
85,洞泾镇,松江区,0.196805105,388,69.23699665,30119,962.1594565,572,0.430796639,4.251929978,8.238733939,2.1088466839366777,5.961005339623274,4.237535353428481,10.312911480831472,6.869180192127337,6.349138991379798
86,石湖荡镇,松江区,0.301982253,1385,79.87333609,19636,607.7415412,349,0.1958965,8.608939959,93.03235148,4.532947298038468,7.233455418621439,4.380442081056621,9.885119895177944,6.40974969487642,5.855071922202427
87,车墩镇,松江区,0.237725896,854,129.1716429,18609,849.6958113,684,0.360255892,9.679515892,41.62841566,3.728783002831941,6.74993119378857,4.861142085060616,9.831400613641227,6.744878416375125,6.52795791762255
88,三林镇,浦东新区,0.273596756,754,913.2666752,135176,5328.144779,1179,0.636869392,1.875335678,15.68262447,2.7525533778295745,6.625392368007956,6.817027924692927,11.814332912040486,8.580758385086774,7.072421900537371
89,上钢新村街道,浦东新区,0.248380405,157,437.8349145,45179,11509.27274,540,0.714120688,3.946268818,21.21666217,3.0547868243949847,5.056245805348308,6.081841931794703,10.718387656089568,9.350908314663195,6.29156913955832
90,东明路街道,浦东新区,0.38649117,122,395.237848,45426,16066.27971,459,0.790625686,1.680198202,10.95893135,2.394154772203947,4.804021044733257,5.979487730518902,10.723839907331362,9.684477926640714,6.129050210060545
91,北蔡镇,浦东新区,0.27892425,525,830.4473964,56241,6788.931977,1223,0.71909842,0.572707605,15.15187633,2.7181243744515964,6.263398262591624,6.721964587372413,10.9374013072653,8.823048914660937,7.109062135687172
92,南码头路街道,浦东新区,0.300687112,87,388.0832243,49281,18246.89964,288,0.787421399,0.293148325,2.029680467,0.7078783752454436,4.465908118654584,5.961219812240934,10.80529389020931,9.811750461839205,5.662960480135946
93,合庆镇,浦东新区,0.275023275,1100,303.0844908,25776,1402.612507,604,0.543701605,3.054098141,10.87349992,2.3863286290695687,7.003065458786462,5.714011614163376,10.157199105416755,7.246091853074319,6.403574197934815
